station_id,date,hour,temp_c,humidity_pct,pressure_hpa
WS001,2018-01-01,0,-0.1,85.0,1022.6
WS001,2018-01-01,1,-5.8,95.0,1002.6
WS001,2018-01-01,2,-4.5,72.8,1012.5
WS001,2018-01-01,3,0.1,79.0,1020.7
WS001,2018-01-01,4,-2.2,66.6,1021.3
WS001,2018-01-01,5,3.6,72.1,1019.8
WS001,2018-01-01,6,3.8,55.9,1002.7
WS001,2018-01-01,7,4.1,53.3,1023.2
WS001,2018-01-01,8,1.8,51.0,1009.8
WS001,2018-01-01,9,7.2,57.5,1013.4
WS001,2018-01-01,10,6.2,62.5,999.1
WS001,2018-01-01,11,7.7,57.0,1023.0
WS001,2018-01-01,12,8.0,41.8,1008.9
WS001,2018-01-01,13,7.5,43.7,1011.7
WS001,2018-01-01,14,1.7,40.1,1016.0
WS001,2018-01-01,15,3.8,45.4,1011.7
WS001,2018-01-01,16,4.8,51.9,1014.6
WS001,2018-01-01,17,3.3,54.9,1013.2
WS001,2018-01-01,18,-0.2,56.0,998.6
WS001,2018-01-01,19,-2.0,53.6,1010.1
WS001,2018-01-01,20,2.8,65.9,1014.5
WS001,2018-01-01,21,-3.2,70.8,1026.8
WS001,2018-01-01,22,-1.7,63.8,1003.9
WS001,2018-01-01,23,-1.2,64.1,1019.0
WS001,2018-01-02,0,-4.5,58.8,1017.1
WS001,2018-01-02,1,-5.1,76.4,1021.5
WS001,2018-01-02,2,-2.9,72.1,1024.4
WS001,2018-01-02,3,-2.0,81.3,1010.6
WS001,2018-01-02,4,-2.3,66.8,1015.1
WS001,2018-01-02,5,3.8,70.2,1016.2
WS001,2018-01-02,6,3.6,61.4,1019.6
WS001,2018-01-02,7,1.7,48.2,1014.9
WS001,2018-01-02,8,10.7,60.5,1007.6
WS001,2018-01-02,9,8.3,36.6,1011.2
WS001,2018-01-02,10,6.5,44.2,1008.5
WS001,2018-01-02,11,5.4,44.1,1007.0
WS001,2018-01-02,12,3.3,35.5,1005.5
WS001,2018-01-02,13,5.6,56.5,1007.9
WS001,2018-01-02,14,2.4,62.5,1004.1
