age_group,income,employment_length,loan_amount,credit_history_length,num_open_accounts,debt_to_income,region,defaulted
18-25,35307.5,2,23164.9,7,4,0.2725,North,1
51-65,15000.0,1,23214.82,8,3,0.2218,South East,0
51-65,28767.08,2,12243.29,10,1,0.3937,Midlands,0
26-35,76957.4,4,12173.75,7,3,0.3022,South East,0
36-50,59397.73,15,12926.56,9,5,0.3093,London,0
26-35,67624.64,13,10059.36,7,6,0.0197,Midlands,0
36-50,46608.45,25,16056.75,3,2,0.2928,London,0
18-25,35681.13,0,14943.77,2,2,0.1908,London,0
36-50,58293.47,0,31550.68,14,3,0.2573,North,0
36-50,65073.1,12,9951.85,11,1,0.3484,London,0
65+,33364.65,3,5132.92,13,3,0.2464,Wales,0
26-35,29162.31,4,21457.35,8,4,0.2629,Midlands,0
51-65,15000.0,7,15715.22,9,4,0.3316,Wales,1
36-50,28708.35,1,8136.56,7,5,0.2592,London,0
65+,54040.54,10,22821.16,13,6,0.1934,North,0
26-35,31267.3,3,12210.08,6,4,0.1134,South East,0
26-35,58771.14,10,30242.85,3,6,0.3604,Scotland,1
51-65,77409.15,17,5498.55,10,6,0.258,Midlands,0
18-25,42446.77,1,9191.79,7,2,0.1201,South East,0
18-25,41707.14,26,16276.61,9,3,0.4695,Scotland,0
18-25,51875.01,7,28577.85,11,5,0.3606,Midlands,0
51-65,31660.76,25,7864.98,5,1,0.1774,London,0
18-25,30348.23,2,18765.06,6,5,0.2354,Midlands,1
51-65,30884.86,9,3360.32,6,9,0.4456,North,0
36-50,21379.6,5,24167.25,14,9,0.2989,South East,0
18-25,58196.16,14,8481.76,8,3,0.2698,Midlands,0
36-50,33061.56,9,21187.73,8,2,0.4101,London,0
26-35,62004.96,6,21704.05,2,5,0.2999,North,0
36-50,51527.09,24,1000.0,11,4,0.4676,North,0
36-50,41589.95,4,17093.27,10,5,0.2705,Midlands,0
36-50,56573.31,2,9943.12,3,5,0.2516,Midlands,0
18-25,25017.69,9,19985.11,17,6,0.322,London,0
36-50,27952.72,9,6259.4,9,1,0.4358,South East,0
51-65,54844.75,5,9185.68,4,8,0.3499,London,0
51-65,15000.0,6,26984.65,7,6,0.3324,Midlands,0
51-65,42263.0,32,26210.76,6,1,0.2231,Midlands,0
26-35,52629.04,13,5058.94,15,3,0.2055,Wales,0
51-65,65595.89,1,32963.71,12,6,0.4359,London,0
26-35,69278.63,2,1000.0,10,9,0.4485,North,1
18-25,39654.85,37,17145.79,16,3,0.4446,Midlands,0
51-65,55864.8,12,2155.49,2,4,0.4149,Midlands,1
65+,27521.7,24,18713.79,11,5,0.3736,Scotland,0
36-50,34017.24,3,12383.56,10,4,0.3717,South East,0
26-35,66617.89,13,4823.61,6,1,0.336,London,0
26-35,41281.72,12,7625.95,6,1,0.3874,North,0
36-50,44874.2,3,7133.7,12,4,0.315,South East,0
51-65,23403.55,8,15763.84,12,1,0.3871,London,0
18-25,49606.21,9,24747.26,0,3,0.4301,South East,1
51-65,55572.98,6,34588.1,17,3,0.1691,South East,0
26-35,55014.41,17,13291.06,13,3,0.4516,North,0
51-65,20195.5,17,17988.14,6,5,0.3131,South East,0
65+,59999.0,19,26862.16,4,4,0.495,Midlands,0
36-50,24034.19,16,10510.64,13,3,0.4725,Midlands,0
26-35,41524.53,6,7169.15,10,3,0.1963,Midlands,0
51-65,15000.0,4,34484.25,11,3,0.3201,Wales,0
36-50,38769.57,17,13202.32,10,1,0.0961,London,0
36-50,23935.44,6,17173.37,14,7,0.2737,Wales,0
36-50,33920.57,2,1000.0,12,6,0.3627,North,0
26-35,43078.39,7,9761.87,5,5,0.4216,North,1
51-65,56890.05,1,33871.39,5,9,0.3283,Midlands,1
26-35,56272.26,11,19628.06,9,9,0.3731,Midlands,1
65+,15000.0,4,14713.18,19,3,0.2357,Scotland,0
26-35,54209.73,3,28937.16,7,3,0.3177,Scotland,0
51-65,45712.98,31,1000.0,9,10,0.2492,South East,0
26-35,31916.35,15,10852.51,12,6,0.3539,South East,0
26-35,26152.67,15,37749.88,5,6,0.4868,Midlands,1
26-35,40876.29,9,14500.31,11,6,0.3132,Wales,0
51-65,46150.76,18,14431.14,8,5,0.1555,South East,0
36-50,48801.88,14,26791.46,14,3,0.3436,North,0
51-65,38448.78,9,27486.56,3,7,0.4047,North,0
26-35,15000.0,32,1984.54,19,5,0.2098,North,0
36-50,33084.54,2,19279.67,6,8,0.469,Midlands,1
51-65,20693.54,28,32557.91,10,5,0.2484,Midlands,0
26-35,78993.98,5,8569.16,8,1,0.2288,Wales,0
36-50,43067.63,7,11275.69,2,8,0.1063,North,0
36-50,55340.16,1,15288.19,12,1,0.3523,North,0
26-35,53432.29,7,21943.45,6,2,0.5379,South East,0
26-35,47585.91,9,1000.0,10,5,0.364,North,0
36-50,34508.08,40,1000.0,3,5,0.2319,South East,0
26-35,32211.08,36,17154.93,6,5,0.3816,South East,0
51-65,15000.0,33,26658.78,6,6,0.416,North,0
65+,44559.48,4,11880.41,10,12,0.4593,Midlands,0
36-50,47406.86,40,8896.0,9,4,0.1718,North,0
36-50,41139.06,6,13330.34,7,3,0.5064,South East,0
18-25,44581.59,19,30975.46,6,4,0.3456,North,0
51-65,20284.61,2,8354.39,9,1,0.5304,Midlands,0
26-35,36707.15,7,20702.82,8,4,0.3387,North,1
36-50,30302.63,33,3464.29,8,7,0.3892,South East,0
65+,53970.11,29,3942.95,17,2,0.2062,North,0
36-50,42737.72,11,23450.43,10,2,0.4382,Scotland,0
51-65,30483.37,15,31343.69,17,1,0.1908,South East,0
36-50,39120.88,1,23890.02,7,4,0.3523,South East,1
18-25,23288.56,12,1000.0,7,4,0.2683,North,0
51-65,36092.85,9,10800.56,5,2,0.3094,North,0
18-25,52488.37,0,17389.17,9,7,0.4502,North,0
51-65,18018.69,1,15595.74,6,5,0.2774,North,0
18-25,40899.18,1,1000.0,5,4,0.4527,Midlands,1
51-65,28501.17,12,2028.04,0,5,0.2712,Midlands,0
26-35,18031.53,1,6982.4,15,4,0.3357,South East,0
