age_group,income,employment_length,loan_amount,credit_history_length,num_open_accounts,debt_to_income,region,defaulted
18-25,29648.63,7,1000.0,8,5,0.5957,Scotland,1
36-50,26815.77,7,1149.89,3,3,0.3359,London,0
18-25,42178.53,1,35462.82,4,6,0.541,Scotland,1
36-50,15000.0,1,9937.91,14,4,0.3689,South East,0
51-65,23560.47,0,19530.77,8,3,0.4055,Midlands,0
18-25,32569.39,19,18367.96,2,2,0.4035,Midlands,0
26-35,23176.55,29,1000.0,1,1,0.3245,Midlands,0
65+,38809.64,1,8179.53,1,2,0.2998,London,0
51-65,37450.61,2,22266.62,12,2,0.2821,London,0
36-50,72209.98,0,5622.03,9,6,0.1857,Midlands,0
18-25,23581.11,20,11219.03,17,1,0.313,Scotland,0
26-35,34832.84,31,2959.1,10,7,0.3402,South East,0
51-65,20645.95,3,6594.79,11,3,0.4411,Scotland,0
51-65,64097.04,3,9732.61,17,2,0.3662,Midlands,0
18-25,60518.3,4,1000.0,3,4,0.5416,Scotland,1
36-50,15000.0,6,26715.59,0,10,0.5349,Midlands,0
18-25,32532.93,11,1114.09,10,3,0.5818,South East,0
18-25,35540.49,7,13275.73,6,4,0.3496,Wales,0
36-50,29897.19,30,7551.23,9,6,0.3033,South East,0
18-25,27741.81,1,25768.53,14,5,0.1749,North,0
18-25,46563.54,16,2676.18,11,4,0.5763,North,0
36-50,61818.05,4,7179.37,15,3,0.2068,Midlands,0
26-35,47105.83,4,1628.68,3,4,0.2448,Wales,0
51-65,47962.23,12,1000.0,12,4,0.4139,Scotland,0
36-50,29677.5,26,20090.89,4,5,0.3337,Scotland,0
36-50,50260.08,12,15323.01,16,3,0.5971,Wales,0
26-35,50210.72,14,17190.83,10,3,0.2649,North,0
26-35,27880.42,13,23104.86,10,5,0.3844,London,0
36-50,31503.67,3,16081.01,5,3,0.1021,Scotland,0
18-25,15000.0,14,10559.86,5,5,0.5648,Midlands,1
51-65,15000.0,15,17596.36,10,4,0.1286,South East,0
36-50,28494.01,7,9935.12,16,1,0.7532,North,0
18-25,18953.38,7,26123.51,15,4,0.3624,Wales,0
36-50,47066.19,14,11379.23,9,7,0.3369,South East,0
65+,32615.44,16,13807.65,5,4,0.3753,Scotland,1
18-25,42988.63,4,21365.71,10,3,0.2189,Midlands,0
18-25,16688.3,16,38361.14,14,8,0.4787,South East,1
51-65,54481.44,16,4778.17,9,4,0.3187,Scotland,0
18-25,42343.51,2,2816.43,6,8,0.3331,Wales,0
18-25,41066.97,12,12549.97,11,2,0.5728,Midlands,0
26-35,49202.91,2,7517.71,6,9,0.122,Midlands,0
26-35,39781.55,0,21999.63,6,1,0.3506,Midlands,0
36-50,19798.89,8,16974.42,7,3,0.3636,Scotland,1
36-50,44403.39,23,3805.48,11,1,0.4007,London,0
65+,23188.78,0,22494.61,6,4,0.2966,South East,0
51-65,38163.35,17,33476.69,7,6,0.3321,North,0
65+,23407.61,7,7009.7,8,4,0.6574,Midlands,0
26-35,59933.25,19,18252.65,6,6,0.4549,Midlands,1
18-25,45044.82,18,1000.0,15,5,0.2631,Scotland,0
65+,50111.64,20,11318.92,17,1,0.4778,Wales,0
18-25,23611.46,14,18096.63,6,3,0.3868,Wales,0
51-65,39483.63,18,13586.42,4,4,0.4913,Midlands,0
18-25,37853.03,1,16125.87,5,3,0.3494,Wales,0
51-65,36654.82,3,7219.51,10,4,0.2588,Scotland,0
65+,15000.0,2,27600.18,7,1,0.1297,South East,0
26-35,64464.23,13,10893.43,1,3,0.5529,North,1
18-25,34423.03,1,2705.39,7,5,0.4826,London,0
18-25,42527.14,2,14611.97,10,3,0.4335,North,0
26-35,15278.83,21,24229.05,12,1,0.4773,Scotland,0
18-25,56956.28,12,20544.76,16,5,0.5655,Scotland,0
36-50,55690.91,20,9822.68,5,5,0.1275,South East,0
26-35,47815.66,1,32731.6,4,2,0.3925,North,0
26-35,39092.73,5,14252.63,6,3,0.1084,South East,0
26-35,70032.81,3,1000.0,3,5,0.3209,Wales,0
36-50,49746.48,0,20943.82,4,5,0.4295,North,0
18-25,15000.0,3,13626.72,4,2,0.3272,London,0
36-50,38367.3,4,14259.52,9,3,0.6444,South East,0
51-65,43756.25,0,23888.16,3,3,0.3363,North,0
26-35,36575.76,8,12389.76,12,3,0.2645,North,0
18-25,43596.57,4,12098.24,13,3,0.3848,Scotland,0
51-65,56618.5,0,2464.75,2,3,0.2246,Midlands,0
18-25,32170.18,12,9705.58,1,4,0.2485,North,0
18-25,29301.46,13,17449.77,5,5,0.5205,South East,0
36-50,18717.3,17,9121.14,5,5,0.5285,North,1
18-25,15000.0,6,1000.0,14,3,0.4036,Wales,0
18-25,30316.34,34,21514.91,7,2,0.4715,North,1
65+,24840.7,24,21924.79,10,9,0.6933,London,1
26-35,31900.54,8,22000.06,10,1,0.3712,Wales,0
65+,26221.62,5,5744.58,3,5,0.25,South East,0
18-25,18883.52,0,14793.59,6,2,0.4604,North,1
51-65,26742.69,12,17396.46,7,1,0.5053,North,0
36-50,42695.24,8,20945.93,9,3,0.5201,Midlands,1
18-25,26971.24,27,21169.28,0,3,0.5516,South East,0
36-50,32169.97,9,1000.0,5,3,0.5292,South East,1
51-65,66419.77,40,32221.43,8,4,0.458,Scotland,1
18-25,51127.56,19,2915.26,5,2,0.4754,Scotland,0
36-50,38417.84,30,1000.0,0,3,0.4416,North,0
26-35,38914.8,3,1000.0,4,6,0.1416,London,0
51-65,24345.34,1,21985.31,1,4,0.1222,Scotland,0
36-50,28701.29,15,29488.45,14,3,0.222,North,0
18-25,30840.69,15,8675.39,6,7,0.503,Midlands,1
18-25,36575.11,2,1000.0,7,4,0.3144,Midlands,0
26-35,34338.26,14,23745.38,3,5,0.4004,Midlands,0
65+,18073.32,8,2021.22,9,4,0.6145,North,0
26-35,43940.63,1,21189.9,11,1,0.5426,North,0
36-50,26397.6,6,5755.16,3,2,0.0541,North,0
18-25,63835.19,26,10609.23,3,4,0.4895,Scotland,1
36-50,53744.45,7,18192.45,5,8,0.3884,Midlands,0
36-50,15000.0,15,18266.45,0,8,0.2816,North,1
36-50,31201.85,0,16067.54,9,3,0.3309,Midlands,0
65+,59124.25,13,29701.77,11,2,0.333,Scotland,0
18-25,44940.52,29,32143.27,0,2,0.1833,London,0
26-35,36336.1,6,32923.22,12,2,0.4167,South East,1
65+,15000.0,4,13239.32,12,6,0.7065,Scotland,1
18-25,31736.49,10,16060.8,0,3,0.5324,South East,0
36-50,38155.43,24,28782.81,2,6,0.0761,North,0
36-50,15000.0,1,8482.87,4,2,0.4237,Wales,0
36-50,44200.65,5,10702.45,10,4,0.4237,North,1
18-25,24472.33,1,15208.5,10,4,0.2308,South East,0
18-25,39519.46,6,14807.09,3,4,0.1984,Midlands,0
36-50,36977.39,7,12135.96,16,4,0.5147,Scotland,0
18-25,31168.59,28,5650.2,4,4,0.3957,Midlands,0
36-50,46873.53,5,23542.61,3,3,0.3084,Scotland,0
26-35,39219.31,8,11126.13,2,7,0.4704,Scotland,1
26-35,75738.46,21,16563.56,7,2,0.6976,North,0
26-35,61668.71,3,14929.75,12,2,0.4187,Scotland,0
65+,19813.3,11,21754.03,3,2,0.4237,Midlands,0
36-50,52802.24,14,19562.46,9,3,0.3768,North,0
36-50,23950.52,4,12447.14,9,2,0.3212,North,0
65+,17385.32,1,10850.37,7,5,0.5029,South East,0
36-50,15000.0,6,13892.56,9,2,0.3511,Midlands,0
65+,29627.66,4,3902.01,12,2,0.455,North,0
18-25,50088.08,3,6957.28,9,8,0.6051,North,0
51-65,37375.4,36,20305.02,13,7,0.4917,North,1
26-35,42626.88,6,17993.69,2,6,0.1889,Scotland,0
51-65,15000.0,19,5339.65,5,1,0.1802,North,0
51-65,31564.75,2,13801.68,2,3,0.568,Scotland,0
26-35,19212.69,28,1000.0,10,3,0.3632,Scotland,0
26-35,15000.0,15,16352.51,14,5,0.4191,Midlands,1
36-50,16942.12,16,11638.56,6,2,0.2612,Midlands,0
18-25,36063.88,4,35950.51,9,3,0.4724,North,1
51-65,44866.41,6,20871.54,0,2,0.6632,Scotland,0
18-25,21344.03,8,5468.45,8,6,0.4027,South East,1
65+,43836.29,15,5330.83,0,5,0.4772,North,1
26-35,47246.19,18,21377.32,8,7,0.5668,London,0
36-50,39944.27,0,23793.25,0,1,0.632,Midlands,0
18-25,22126.13,23,33585.52,16,2,0.2781,North,0
26-35,27539.89,27,26563.59,7,6,0.442,London,0
26-35,39916.63,8,19771.44,7,6,0.5713,North,0
26-35,24264.69,2,29231.68,17,1,0.6131,Wales,0
18-25,44699.62,17,15745.76,8,2,0.3164,Wales,0
51-65,18380.08,7,15300.66,0,5,0.2795,South East,0
18-25,40714.26,16,2873.4,5,2,0.3568,Scotland,0
51-65,48604.09,16,30083.7,17,3,0.3319,Wales,0
26-35,37871.96,0,16323.91,3,4,0.3382,London,0
36-50,20142.71,9,14013.83,5,4,0.4418,Midlands,0
18-25,15000.0,6,7059.95,15,6,0.2989,Wales,0
36-50,18390.88,29,27253.76,4,1,0.6139,South East,1
36-50,42310.86,3,24865.27,7,8,0.3193,Wales,1
18-25,31910.59,2,5977.64,14,2,0.2898,North,0
18-25,25992.16,22,20104.83,5,7,0.2045,London,0
18-25,40966.03,1,22959.84,4,4,0.5686,North,1
18-25,15000.0,11,2537.24,0,4,0.186,Midlands,0
18-25,31067.8,3,21412.39,2,1,0.4486,Midlands,0
18-25,18399.09,8,19409.93,3,3,0.4842,North,0
36-50,15000.0,9,21231.78,6,6,0.0,North,0
26-35,27281.29,5,34867.1,9,7,0.1837,North,1
26-35,72082.57,36,44616.6,7,6,0.3233,London,0
18-25,44482.17,1,27362.3,1,8,0.6642,Scotland,1
36-50,18041.02,4,17604.93,14,4,0.3234,North,0
26-35,53163.77,5,21382.42,2,2,0.3045,Scotland,0
36-50,15399.96,9,19340.27,17,2,0.2675,Scotland,0
36-50,57759.56,5,38517.5,8,6,0.2652,Midlands,0
36-50,21777.09,1,16374.04,13,5,0.2847,London,0
26-35,36643.04,29,10857.38,10,5,0.2792,Wales,0
36-50,66284.43,5,20487.36,15,7,0.2728,Scotland,1
26-35,29744.43,4,35877.2,7,2,0.2726,London,0
65+,62566.15,5,5313.55,6,1,0.3228,North,0
51-65,33917.96,2,8281.04,9,2,0.5226,London,0
26-35,33693.42,1,7727.49,6,6,0.2118,London,0
65+,21708.85,1,3029.22,10,9,0.283,North,0
36-50,56186.22,1,5488.3,15,4,0.302,London,0
26-35,27565.9,2,24403.75,0,6,0.38,Wales,1
18-25,63577.36,5,17198.13,7,2,0.2656,Scotland,0
36-50,25583.36,9,2061.44,19,4,0.6913,North,0
51-65,28170.49,9,21856.78,6,3,0.4675,London,0
51-65,50059.32,0,18454.55,13,1,0.5262,Midlands,0
36-50,33372.84,25,24516.4,12,5,0.4158,Midlands,0
26-35,39326.4,17,8959.97,0,3,0.5907,North,1
36-50,15364.98,33,2729.09,9,2,0.2085,South East,0
51-65,36653.05,4,21798.81,9,3,0.2964,North,0
26-35,40566.01,10,23250.98,23,5,0.2575,Midlands,1
26-35,60864.43,1,3955.57,0,1,0.3543,Wales,0
36-50,27823.6,16,17381.0,0,2,0.6176,Wales,1
51-65,40062.49,1,8837.37,6,1,0.7099,North,0
51-65,53153.32,3,24711.54,6,1,0.5232,North,0
18-25,35639.37,6,21621.74,3,2,0.3653,South East,0
18-25,51292.55,9,27187.41,3,4,0.548,South East,0
51-65,72474.1,8,6587.71,11,6,0.6025,Wales,0
51-65,35443.78,1,8102.73,3,3,0.5565,North,0
26-35,54854.45,5,11294.09,5,2,0.36,South East,0
36-50,42722.63,25,9699.49,12,6,0.3639,North,0
65+,47861.7,20,18684.52,12,2,0.2813,Wales,0
65+,45575.19,8,4229.2,5,5,0.3432,Midlands,0
51-65,50997.49,8,30212.04,0,8,0.2601,South East,0
18-25,50004.37,1,32438.28,12,3,0.3703,Wales,0
36-50,33945.96,2,26094.43,3,4,0.3765,North,0
18-25,26660.34,2,20000.84,14,4,0.2505,Midlands,0
51-65,41380.63,6,13768.37,10,6,0.7828,Midlands,0
18-25,15000.0,13,16889.09,7,4,0.4244,Scotland,0
36-50,44279.33,6,7437.09,10,6,0.5739,Scotland,0
36-50,46188.18,1,16574.31,0,5,0.5601,Midlands,0
51-65,32317.13,5,18353.46,15,4,0.6714,London,0
36-50,35662.71,1,6746.52,6,7,0.2439,North,0
18-25,48677.89,13,31214.08,8,9,0.2982,South East,1
36-50,46207.21,1,14157.74,5,6,0.1079,South East,0
26-35,48901.84,6,4712.76,7,4,0.1374,Midlands,0
26-35,46655.04,11,12946.91,15,3,0.2285,London,0
65+,36594.55,2,8974.83,6,4,0.3572,Wales,0
36-50,34776.89,0,6597.11,5,5,0.3659,London,0
36-50,41334.92,8,30713.24,11,3,0.8,Midlands,0
36-50,56802.4,0,15099.54,9,5,0.4555,South East,0
