product_id,product_name,price,currency,category,stock_quantity,last_updated
GAM-P001,Natural Enamel Pin,89.47,USD,kitchen,7,03/02/2024
GAM-P002,Classic Silver Ring,30.02,USD,decor,189,03/02/2024
GAM-P003,Rustic Silver Ring,143.52,USD,stationery,83,03/02/2024
GAM-P004,Bespoke Jute Rug,89.85,USD,fashion,60,03/02/2024
GAM-P005,Elegant Clay Planter,25.86,USD,kitchen,83,03/02/2024
GAM-P006,Bespoke Copper Kettle,106.86,USD,decor,147,03/02/2024
GAM-P007,Elegant Linen Tablecloth,51.43,USD,fashion,68,03/02/2024
GAM-P008,Rustic Cotton Scarf,75.92,USD,garden,188,03/02/2024
GAM-P009,Luxury Iron Bookend,36.74,USD,stationery,74,03/02/2024
GAM-P010,Artisan Ceramic Mug,87.8,USD,fashion,64,03/02/2024
GAM-P011,Natural Paper Lampshade,143.2,USD,garden,156,03/02/2024
GAM-P012,Luxury Cork Notebook,21.89,USD,garden,154,03/02/2024
GAM-P013,Natural Marble Coaster,5.39,USD,kitchen,112,03/02/2024
GAM-P014,Vintage Silver Ring,13.04,USD,decor,170,03/02/2024
GAM-P015,Natural Marble Coaster,115.16,USD,garden,184,03/02/2024
GAM-P016,Vintage Linen Tablecloth,76.1,USD,jewellery,35,03/02/2024
GAM-P017,Natural Clay Planter,142.14,USD,decor,33,03/02/2024
GAM-P018,Organic Ceramic Mug,122.79,USD,accessories,34,03/02/2024
GAM-P019,Classic Porcelain Plate,110.73,USD,home,140,03/02/2024
GAM-P020,Artisan Silver Ring,10.46,USD,home,67,03/02/2024
GAM-P021,Elegant Iron Bookend,92.95,USD,garden,132,03/02/2024
