product_id,product_name,price,currency,category,stock_quantity,last_updated
ALP-P001,Artisan Enamel Pin,45.57,GBP,home,126,03/03/2024
ALP-P002,Modern Marble Coaster,91.83,GBP,stationery,41,03/03/2024
ALP-P003,Handmade Denim Apron,141.72,GBP,kitchen,185,03/03/2024
ALP-P004,Rustic Tin Candle,130.14,GBP,kitchen,152,03/03/2024
ALP-P005,Organic Copper Kettle,7.82,GBP,accessories,190,03/03/2024
ALP-P006,Modern Cork Notebook,95.68,GBP,garden,98,03/03/2024
ALP-P007,Handmade Silver Ring,86.99,GBP,accessories,196,03/03/2024
ALP-P008,Premium Ceramic Mug,62.61,GBP,fashion,17,03/03/2024
ALP-P009,Artisan Linen Tablecloth,34.39,GBP,decor,22,03/03/2024
ALP-P010,Organic Oak Cutting Board,56.89,GBP,kitchen,51,03/03/2024
ALP-P011,Classic Porcelain Plate,20.76,GBP,accessories,118,03/03/2024
ALP-P012,Handmade Linen Tablecloth,128.18,GBP,kitchen,173,03/03/2024
ALP-P013,Vintage Wooden Bowl,92.42,GBP,home,97,03/03/2024
ALP-P014,Vintage Brass Candleholder,113.8,GBP,decor,131,03/03/2024
ALP-P015,Bespoke Oak Cutting Board,24.19,GBP,garden,139,03/03/2024
ALP-P016,Natural Copper Kettle,59.52,GBP,decor,55,03/03/2024
ALP-P017,Modern Wooden Bowl,134.25,GBP,fashion,78,03/03/2024
ALP-P018,Premium Stone Mortar,12.13,GBP,kitchen,148,03/03/2024
ALP-P019,Classic Leather Wallet,25.42,GBP,stationery,75,03/03/2024
ALP-P020,Elegant Leather Wallet,146.1,GBP,accessories,110,03/03/2024
ALP-P021,Premium Silk Cushion,149.26,GBP,decor,115,03/03/2024
ALP-P022,Artisan Velvet Pouch,41.27,GBP,accessories,101,03/03/2024
ALP-P023,Modern Clay Planter,20.7,GBP,kitchen,118,03/03/2024
ALP-P024,Luxury Paper Lampshade,77.45,GBP,kitchen,47,03/03/2024
ALP-P025,Vintage Ceramic Mug,125.92,GBP,accessories,125,03/03/2024
ALP-P026,Natural Clay Planter,124.96,GBP,accessories,160,03/03/2024
