product_id,product_name,price,currency,category,stock_quantity,last_updated
ALP-P001,Elegant Glass Vase,100.3,GBP,home,72,02/03/2024
ALP-P002,Handmade Copper Kettle,144.2,GBP,accessories,36,02/03/2024
ALP-P003,Luxury Stone Mortar,93.45,GBP,jewellery,7,02/03/2024
ALP-P004,Elegant Paper Lampshade,128.1,GBP,kitchen,103,02/03/2024
ALP-P005,Natural Tin Candle,57.01,GBP,kitchen,111,02/03/2024
ALP-P006,Bespoke Wool Blanket,18.56,GBP,stationery,146,02/03/2024
ALP-P007,Rustic Copper Kettle,64.0,GBP,accessories,55,02/03/2024
ALP-P008,Handmade Clay Planter,74.88,GBP,stationery,25,02/03/2024
ALP-P009,Bespoke Resin Earrings,104.42,GBP,kitchen,196,02/03/2024
ALP-P010,Artisan Paper Lampshade,81.63,GBP,jewellery,192,02/03/2024
ALP-P011,Vintage Wool Blanket,127.28,GBP,fashion,102,02/03/2024
ALP-P012,Elegant Glass Vase,39.89,GBP,fashion,130,02/03/2024
ALP-P013,Premium Enamel Pin,135.35,GBP,home,42,02/03/2024
ALP-P014,Modern Tin Candle,37.44,GBP,home,170,02/03/2024
ALP-P015,Elegant Bamboo Tray,92.06,GBP,stationery,16,02/03/2024
ALP-P016,Handmade Cotton Scarf,125.89,GBP,stationery,128,02/03/2024
ALP-P017,Artisan Wooden Bowl,16.78,GBP,decor,156,02/03/2024
ALP-P018,Classic Resin Earrings,145.58,GBP,home,12,02/03/2024
ALP-P019,Vintage Porcelain Plate,81.53,GBP,fashion,20,02/03/2024
ALP-P020,Premium Enamel Pin,92.95,GBP,jewellery,13,02/03/2024
ALP-P021,Modern Bamboo Tray,117.18,GBP,decor,149,02/03/2024
ALP-P022,Modern Enamel Pin,64.61,GBP,kitchen,12,02/03/2024
