product_id,product_name,price,currency,category,stock_quantity,last_updated
GAM-P001,Vintage Linen Tablecloth,5.81,USD,jewellery,123,03/01/2024
GAM-P002,Handmade Canvas Tote,34.59,USD,stationery,142,03/01/2024
GAM-P003,Luxury Silver Ring,103.89,USD,fashion,77,03/01/2024
GAM-P004,Premium Jute Rug,80.37,USD,stationery,98,03/01/2024
GAM-P005,Natural Wicker Basket,149.29,USD,garden,36,03/01/2024
GAM-P006,Modern Jute Rug,105.1,USD,decor,108,03/01/2024
GAM-P007,Modern Enamel Pin,119.38,USD,fashion,164,03/01/2024
GAM-P008,Rustic Glass Vase,113.3,USD,kitchen,93,03/01/2024
GAM-P009,Elegant Cork Notebook,107.03,USD,jewellery,73,03/01/2024
GAM-P010,Artisan Wooden Bowl,81.25,USD,kitchen,181,03/01/2024
GAM-P011,Elegant Paper Lampshade,123.37,USD,kitchen,48,03/01/2024
GAM-P012,Vintage Glass Vase,34.03,USD,kitchen,165,03/01/2024
GAM-P013,Handmade Enamel Pin,49.21,USD,accessories,15,03/01/2024
GAM-P014,Rustic Cork Notebook,6.18,USD,accessories,133,03/01/2024
GAM-P015,Artisan Bamboo Tray,43.05,USD,kitchen,52,03/01/2024
GAM-P016,Luxury Clay Planter,72.16,USD,home,136,03/01/2024
GAM-P017,Organic Tin Candle,73.39,USD,accessories,170,03/01/2024
GAM-P018,Modern Silver Ring,119.1,USD,jewellery,122,03/01/2024
GAM-P019,Modern Oak Cutting Board,42.75,USD,jewellery,143,03/01/2024
GAM-P020,Bespoke Wool Blanket,75.16,USD,stationery,39,03/01/2024
GAM-P021,Natural Leather Wallet,52.19,USD,accessories,130,03/01/2024
GAM-P022,Bespoke Cork Notebook,70.77,USD,decor,186,03/01/2024
GAM-P023,Vintage Porcelain Plate,12.7,USD,kitchen,183,03/01/2024
GAM-P024,Modern Cotton Scarf,98.59,USD,kitchen,16,03/01/2024
GAM-P025,Modern Velvet Pouch,36.18,USD,garden,183,03/01/2024
