product_id,product_name,price,currency,category,stock_quantity,last_updated
BET-P001,Rustic Resin Earrings,130.62,EUR,decor,139,2024-03-02
BET-P002,Natural Cotton Scarf,54.33,EUR,kitchen,66,2024-03-02
BET-P003,Vintage Velvet Pouch,103.68,EUR,jewellery,47,2024-03-02
BET-P004,Elegant Tin Candle,53.99,EUR,garden,45,2024-03-02
BET-P005,Classic Porcelain Plate,29.31,EUR,kitchen,103,2024-03-02
BET-P006,Natural Brass Candleholder,130.91,EUR,decor,87,2024-03-02
BET-P007,Elegant Wicker Basket,118.34,EUR,jewellery,26,2024-03-02
BET-P008,Artisan Jute Rug,148.76,EUR,accessories,143,2024-03-02
BET-P009,Luxury Porcelain Plate,58.54,EUR,home,165,2024-03-02
BET-P010,Modern Canvas Tote,43.11,EUR,stationery,143,2024-03-02
BET-P011,Classic Ceramic Mug,93.43,EUR,garden,197,2024-03-02
BET-P012,Bespoke Silk Cushion,124.6,EUR,decor,1,2024-03-02
BET-P013,Artisan Silk Cushion,96.08,EUR,accessories,172,2024-03-02
BET-P014,Elegant Resin Earrings,88.66,EUR,accessories,123,2024-03-02
BET-P015,Natural Iron Bookend,28.9,EUR,decor,133,2024-03-02
BET-P016,Luxury Oak Cutting Board,89.39,EUR,fashion,9,2024-03-02
BET-P017,Vintage Resin Earrings,57.81,EUR,stationery,78,2024-03-02
BET-P018,Vintage Oak Cutting Board,47.58,EUR,accessories,83,2024-03-02
BET-P019,Classic Linen Tablecloth,20.55,EUR,kitchen,93,2024-03-02
BET-P020,Natural Linen Tablecloth,123.54,EUR,garden,186,2024-03-02
BET-P021,Elegant Cotton Scarf,39.53,EUR,stationery,114,2024-03-02
BET-P022,Classic Leather Wallet,7.33,EUR,fashion,38,2024-03-02
BET-P023,Luxury Jute Rug,98.28,EUR,accessories,72,2024-03-02
