product_id,product_name,price,currency,category,stock_quantity,last_updated
BET-P001,Bespoke Resin Earrings,83.63,EUR,fashion,129,2024-03-01
BET-P002,Premium Enamel Pin,23.85,EUR,jewellery,188,2024-03-01
BET-P003,Natural Canvas Tote,85.26,EUR,accessories,165,2024-03-01
BET-P004,Vintage Silk Cushion,55.28,EUR,garden,192,2024-03-01
BET-P005,Handmade Denim Apron,99.95,EUR,accessories,91,2024-03-01
BET-P006,Organic Brass Candleholder,134.8,EUR,stationery,114,2024-03-01
BET-P007,Rustic Iron Bookend,33.42,EUR,kitchen,6,2024-03-01
BET-P008,Natural Marble Coaster,44.86,EUR,accessories,157,2024-03-01
BET-P009,Vintage Cork Notebook,96.03,EUR,garden,126,2024-03-01
BET-P010,Natural Clay Planter,76.41,EUR,kitchen,159,2024-03-01
BET-P011,Natural Bamboo Tray,78.34,EUR,kitchen,33,2024-03-01
BET-P012,Classic Canvas Tote,88.64,EUR,garden,191,2024-03-01
BET-P013,Handmade Paper Lampshade,98.28,EUR,jewellery,174,2024-03-01
BET-P014,Elegant Ceramic Mug,62.8,EUR,kitchen,174,2024-03-01
BET-P015,Bespoke Paper Lampshade,39.43,EUR,home,178,2024-03-01
BET-P016,Premium Ceramic Mug,101.22,EUR,jewellery,193,2024-03-01
BET-P017,Rustic Porcelain Plate,110.51,EUR,jewellery,175,2024-03-01
BET-P018,Modern Stone Mortar,10.56,EUR,accessories,42,2024-03-01
BET-P019,Premium Clay Planter,30.51,EUR,jewellery,95,2024-03-01
BET-P020,Premium Wool Blanket,31.47,EUR,stationery,117,2024-03-01
BET-P021,Natural Porcelain Plate,33.44,EUR,jewellery,156,2024-03-01
BET-P022,Premium Silver Ring,97.55,EUR,kitchen,174,2024-03-01
